cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00511568,Ron DeSantis,0.252816821,R,Fla.,House,HFC,Desantis,2014
RYAN FOR CONGRESS,C00330894,C00504613,Steven Horsford,0.251681546,D,Nev.,House,,Horsford,2014
RYAN FOR CONGRESS,C00330894,C00310532,Kay Granger,0.25167959,R,Texas,House,,Granger,2014
RYAN FOR CONGRESS,C00330894,C00410753,Albio Sires,0.251389805,D,N.J.,House,,Sires,2014
RYAN FOR CONGRESS,C00330894,C00365692,Randy Forbes,0.251310258,R,Va.,House,,Forbes,2014
RYAN FOR CONGRESS,C00330894,C00415331,Yvette Clarke,0.251086708,D,N.Y.,House,,Clarke,2014
RYAN FOR CONGRESS,C00330894,C00313684,Rush Holt,0.25099006,D,N.J.,House,,Holt,2014
RYAN FOR CONGRESS,C00330894,C00390724,Tim Walberg,0.250094747,D,Mich.,House,,Walberg,2014
RYAN FOR CONGRESS,C00330894,C00496760,Mark Amodei,0.249627168,R,Nev.,House,,Amodei,2014
RYAN FOR CONGRESS,C00330894,C00443705,Jackie Speier,0.249476748,D,Calif.,House,,Speier,2014
RYAN FOR CONGRESS,C00330894,C00461822,Chuck Fleischmann,0.248900038,R,Tenn.,House,,Fleischmann,2014
RYAN FOR CONGRESS,C00330894,C00514893,Derek Kilmer,0.248784716,D,Wash.,House,,Kilmer,2014
RYAN FOR CONGRESS,C00330894,C00464487,Alan Nunnelee,0.248716526,R,Miss.,House,,Nunnelee,2014
RYAN FOR CONGRESS,C00330894,C00287912,Frank Lucas,0.248706268,R,Okla.,House,,Lucas,2014
RYAN FOR CONGRESS,C00330894,C00405431,Dan Lipinski,0.248114857,D,Ill.,House,,Lipinski,2014
RYAN FOR CONGRESS,C00330894,C00120683,Ralph Hall,0.247733257,R,Texas,House,,Hall,2014
RYAN FOR CONGRESS,C00330894,C00367862,Mike D. Rogers,0.247444679,R,Ala.,House,,"Rogers, Mike D",2014
RYAN FOR CONGRESS,C00330894,C00410761,Kathy Castor,0.246551565,D,Fla.,House,,Castor,2014
RYAN FOR CONGRESS,C00330894,C00286187,Mac Thornberry,0.246538839,R,Texas,House,,Thornberry,2014
RYAN FOR CONGRESS,C00330894,C00304709,Adam Smith,0.245761914,D,Wash.,House,,"Smith, Adam",2014
RYAN FOR CONGRESS,C00330894,C00432906,Tom Rooney,0.245325904,R,Fla.,House,,Rooney,2014
RYAN FOR CONGRESS,C00330894,C00464495,Bill Owens,0.24499526,D,N.Y.,House,,Owens,2014
RYAN FOR CONGRESS,C00330894,C00504704,Kevin Cramer,0.24494884,R,N.D.,House,,Cramer,2014
RYAN FOR CONGRESS,C00330894,C00289603,Zoe Lofgren,0.244900944,D,Calif.,House,,Lofgren,2014
RYAN FOR CONGRESS,C00330894,C00441295,Gregg Harper,0.243831639,R,Miss.,House,,Harper,2014
RYAN FOR CONGRESS,C00330894,C00497180,Mike Coffman,0.243821482,R,Colo.,House,,Coffman,2014
RYAN FOR CONGRESS,C00330894,C00195628,David Price,0.243213785,D,N.C.,House,,"Price, D",2014
RYAN FOR CONGRESS,C00330894,C00445452,Gerry Connolly,0.242761537,D,Va.,House,,Connolly,2014
RYAN FOR CONGRESS,C00330894,C00520379,Chris Collins,0.24132871,R,N.Y.,House,,"Collins, C",2014
RYAN FOR CONGRESS,C00330894,C00308742,Brad Sherman,0.241126615,D,Calif.,House,,Sherman,2014
RYAN FOR CONGRESS,C00330894,C00367110,Trent Franks,0.239568706,R,Ariz.,House,HFC,Franks,2014
RYAN FOR CONGRESS,C00330894,C00460550,Jeff Duncan,0.239360071,R,S.C.,House,HFC,"Duncan, Je",2014
RYAN FOR CONGRESS,C00330894,C00442921,Andre Carson,0.239206978,D,Ind.,House,,Carson,2014
RYAN FOR CONGRESS,C00330894,C00318931,Carolyn McCarthy,0.238731568,D,N.Y.,House,,"McCarthy, C",2014
RYAN FOR CONGRESS,C00330894,C00257337,Ken Calvert,0.238004385,R,Calif.,House,,Calvert,2014
RYAN FOR CONGRESS,C00330894,C00167585,Maxine Waters,0.237985021,D,Calif.,House,,Waters,2014
RYAN FOR CONGRESS,C00330894,C00343871,Adam Schiff,0.237068539,D,Calif.,House,,Schiff,2014
RYAN FOR CONGRESS,C00330894,C00506832,Marc Veasey,0.235530852,D,Texas,House,,Veasey,2014
RYAN FOR CONGRESS,C00330894,C00392670,Ted Poe,0.235470309,R,Texas,House,,Poe,2014
RYAN FOR CONGRESS,C00330894,C00506931,Chris Stewart,0.235214665,R,Utah,House,,Stewart,2014
RYAN FOR CONGRESS,C00330894,C00472704,Jaime Herrera Beutler,0.23414155,R,Wash.,House,,Herrera Beutler,2014
RYAN FOR CONGRESS,C00330894,C00344697,Jim Langevin,0.232783605,D,R.I.,House,,Langevin,2014
RYAN FOR CONGRESS,C00330894,C00373464,Tim Ryan,0.231433148,D,Ohio,House,,"Ryan, T",2014
RYAN FOR CONGRESS,C00330894,C00512970,Joe Kennedy,0.230516054,D,Mass.,House,,Kennedy,2014
RYAN FOR CONGRESS,C00330894,C00466516,Bob Gibbs,0.230158049,R,Ohio,House,,Gibbs,2014
RYAN FOR CONGRESS,C00330894,C00499947,Dan Kildee,0.229895482,D,Mich.,House,,Kildee,2014
RYAN FOR CONGRESS,C00330894,C00013128,Henry Waxman,0.22933367,D,Calif.,House,,Waxman,2014
RYAN FOR CONGRESS,C00330894,C00444620,Glenn Thompson,0.228942347,R,Pa.,House,,"Thompson, G",2014
RYAN FOR CONGRESS,C00330894,C00366757,Jeff Miller,0.226760663,R,Fla.,House,,"Miller, J",2014
RYAN FOR CONGRESS,C00330894,C00509729,Thomas Massie,0.225756291,R,Ky.,House,,Massie,2014
RYAN FOR CONGRESS,C00330894,C00461061,Ami Bera,0.225090041,D,Calif.,House,,Bera,2014
RYAN FOR CONGRESS,C00330894,C00253187,Collin Peterson,0.224976399,D,Minn.,House,,Peterson,2014
RYAN FOR CONGRESS,C00330894,C00545673,Bradley Byrne,0.223827489,R,Ala.,House,,Byrne,2014
RYAN FOR CONGRESS,C00330894,C00469163,Ted Deutch,0.22335423,D,Fla.,House,,Deutch,2014
RYAN FOR CONGRESS,C00330894,C00420745,Doug Lamborn,0.222706998,R,Colo.,House,,Lamborn,2014
RYAN FOR CONGRESS,C00330894,C00459099,Suzan DelBene,0.221860597,D,Wash.,House,,DelBene,2014
RYAN FOR CONGRESS,C00330894,C00519355,Donald Payne Jr.,0.221728953,D,N.J.,House,,Payne,2014
RYAN FOR CONGRESS,C00330894,C00269340,Frank LoBiondo,0.221091098,R,N.J.,House,,LoBiondo,2014
RYAN FOR CONGRESS,C00330894,C00493023,Janice Hahn,0.220609747,D,Calif.,House,,Hahn,2014
RYAN FOR CONGRESS,C00330894,C00251918,Ed Pastor,0.219670098,D,Ariz.,House,,Pastor,2014
RYAN FOR CONGRESS,C00330894,C00334706,Grace Napolitano,0.219275061,D,Calif.,House,,Napolitano,2014
RYAN FOR CONGRESS,C00330894,C00280537,Ileana Ros-Lehtinen,0.21831299,R,Fla.,House,,Ros-Lehtinen,2014
RYAN FOR CONGRESS,C00330894,C00346080,William Lacy Clay,0.216750047,D,Mo.,House,,Clay,2014
RYAN FOR CONGRESS,C00330894,C00254573,Eddie Bernice Johnson,0.215448918,D,Texas,House,,"Johnson, E",2014
RYAN FOR CONGRESS,C00330894,C00326264,Loretta Sanchez,0.215021355,D,Calif.,House,,"Sanchez, Lo",2014
RYAN FOR CONGRESS,C00330894,C00464602,Vicky Hartzler,0.213708846,R,Mo.,House,,Hartzler,2014
RYAN FOR CONGRESS,C00330894,C00229104,John Duncan Jr.,0.212319142,R,Tenn.,House,,"Duncan, Jo",2014
RYAN FOR CONGRESS,C00330894,C00310318,Elijah Cummings,0.209764727,D,Md.,House,,Cummings,2014
RYAN FOR CONGRESS,C00330894,C00462374,Rick Crawford,0.209037507,R,Ark.,House,,Crawford,2014
RYAN FOR CONGRESS,C00330894,C00083428,Jim Sensenbrenner,0.20874975,R,Wis.,House,,Sensenbrenner,2014
RYAN FOR CONGRESS,C00330894,C00285171,Jim McGovern,0.207504851,D,Mass.,House,,McGovern,2014
RYAN FOR CONGRESS,C00330894,C00494203,Elizabeth Esty,0.206690653,D,Conn.,House,,Esty,2014
RYAN FOR CONGRESS,C00330894,C00500421,Suzanne Bonamici,0.206608785,D,Ore.,House,,Bonamici,2014
RYAN FOR CONGRESS,C00330894,C00498568,Cheri Bustos,0.206298054,D,Ill.,House,,Bustos,2014
RYAN FOR CONGRESS,C00330894,C00414318,Dave Loebsack,0.20582928,D,Iowa,House,,Loebsack,2014
RYAN FOR CONGRESS,C00330894,C00501908,Pete Gallego,0.205319449,D,Texas,House,,Gallego,2014
RYAN FOR CONGRESS,C00330894,C00374231,Rob Bishop,0.204102129,R,Utah,House,,"Bishop, R",2014
RYAN FOR CONGRESS,C00330894,C00513531,Filemon Vela,0.203345885,D,Texas,House,,Vela,2014
RYAN FOR CONGRESS,C00330894,C00422980,Steve Cohen,0.203204231,D,Tenn.,House,,Cohen,2014
RYAN FOR CONGRESS,C00330894,C00081356,Nick Rahall,0.203204027,D,W.Va.,House,,Rahall,2014
RYAN FOR CONGRESS,C00330894,C00494856,Lois Frankel,0.202980345,D,Fla.,House,,Frankel,2014
RYAN FOR CONGRESS,C00330894,C00512202,Paul Cook,0.201809777,R,Calif.,House,,Cook,2014
RYAN FOR CONGRESS,C00330894,C00541862,Jason Smith,0.201545064,R,Mo.,House,,"Smith, J",2014
RYAN FOR CONGRESS,C00330894,C00460055,Frederica Wilson,0.201200988,D,Fla.,House,,"Wilson, F",2014
RYAN FOR CONGRESS,C00330894,C00470948,Raul Labrador,0.200353668,R,Idaho,House,HFC,Labrador,2014
RYAN FOR CONGRESS,C00330894,C00512129,Ron Barber,0.197151737,D,Ariz.,House,,Barber,2014
RYAN FOR CONGRESS,C00330894,C00396028,Al Green,0.19408264,D,Texas,House,,"Green, A",2014
RYAN FOR CONGRESS,C00330894,C00502393,Jim Bridenstine,0.193188737,R,Okla.,House,HFC,Bridenstine,2014
RYAN FOR CONGRESS,C00330894,C00241349,Jim Moran,0.192211735,D,Va.,House,,Moran,2014
RYAN FOR CONGRESS,C00330894,C00166504,Pete Visclosky,0.19145287,D,Ind.,House,,Visclosky,2014
RYAN FOR CONGRESS,C00330894,C00398644,Jerry McNerney,0.190633031,D,Calif.,House,,McNerney,2014
RYAN FOR CONGRESS,C00330894,C00409441,Bruce Braley,0.190532706,D,Iowa,House,,Braley,2014
RYAN FOR CONGRESS,C00330894,C00254441,Chaka Fattah,0.190118185,D,Pa.,House,,Fattah,2014
RYAN FOR CONGRESS,C00330894,C00461806,Paul Gosar,0.189206762,R,Ariz.,House,HFC,Gosar,2014
RYAN FOR CONGRESS,C00330894,C00367821,Michael Michaud,0.188537929,D,Me.,House,,Michaud,2014
RYAN FOR CONGRESS,C00330894,C00375618,Tim Bishop,0.187902406,D,N.Y.,House,,"Bishop, T",2014
RYAN FOR CONGRESS,C00330894,C00409409,Tim Walz,0.187658417,D,Minn.,House,,Walz,2014
RYAN FOR CONGRESS,C00330894,C00254581,Luis Gutierrez,0.187470452,D,Ill.,House,,Gutierrez,2014
RYAN FOR CONGRESS,C00330894,C00386532,Louie Gohmert,0.187469908,R,Texas,House,,Gohmert,2014
RYAN FOR CONGRESS,C00330894,C00464149,Mo Brooks,0.186841909,R,Ala.,House,HFC,"Brooks, M",2014
RYAN FOR CONGRESS,C00330894,C00479063,Bill Keating,0.186571005,D,Mass.,House,,Keating,2014
RYAN FOR CONGRESS,C00330894,C00290064,Michael Doyle,0.185359014,D,Pa.,House,,Doyle,2014
RYAN FOR CONGRESS,C00330894,C00223073,Jim McDermott,0.18460258,D,Wash.,House,,McDermott,2014
RYAN FOR CONGRESS,C00330894,C00540617,David Schweikert,0.184304288,R,Ariz.,House,HFC,Schweikert,2014
RYAN FOR CONGRESS,C00330894,C00503052,Hakeem Jeffries,0.183139619,D,N.Y.,House,,Jeffries,2014
RYAN FOR CONGRESS,C00330894,C00518241,Steve Stockman,0.182796775,R,Texas,House,,Stockman,2014
RYAN FOR CONGRESS,C00330894,C00347849,Shelley Moore Capito,0.181813691,R,W.Va.,House,,Capito,2014
RYAN FOR CONGRESS,C00330894,C00238865,Rosa DeLauro,0.18137146,D,Conn.,House,,DeLauro,2014
RYAN FOR CONGRESS,C00330894,C00305052,Walter Jones,0.180301609,R,N.C.,House,,Jones,2014
RYAN FOR CONGRESS,C00330894,C00219881,Nita Lowey,0.180186812,D,N.Y.,House,,Lowey,2014
RYAN FOR CONGRESS,C00330894,C00012229,Don Young,0.179471146,R,Alaska,House,,"Young, D",2014
RYAN FOR CONGRESS,C00330894,C00354688,Betty McCollum,0.179110457,D,Minn.,House,,McCollum,2014
RYAN FOR CONGRESS,C00330894,C00286500,Lloyd Doggett,0.177803959,D,Texas,House,,Doggett,2014
RYAN FOR CONGRESS,C00330894,C00498212,Alan Lowenthal,0.177099777,D,Calif.,House,,Lowenthal,2014
RYAN FOR CONGRESS,C00330894,C00272732,Corrine Brown,0.176967324,D,Fla.,House,,"Brown, C",2014
RYAN FOR CONGRESS,C00330894,C00258244,Buck McKeon,0.175570304,R,Calif.,House,,McKeon,2014
RYAN FOR CONGRESS,C00330894,C00285254,Mark Sanford,0.174940872,R,S.C.,House,HFC,Sanford,2014
RYAN FOR CONGRESS,C00330894,C00391029,Jim Costa,0.173930899,D,Calif.,House,,Costa,2014
RYAN FOR CONGRESS,C00330894,C00198796,Howard Coble,0.17342464,R,N.C.,House,,Coble,2014
RYAN FOR CONGRESS,C00330894,C00422964,Donna Edwards,0.172998232,D,Md.,House,,Edwards,2014
RYAN FOR CONGRESS,C00330894,C00501197,Beto O'Rourke,0.172403577,D,Texas,House,,ORourke,2014
RYAN FOR CONGRESS,C00330894,C00499467,Dina Titus,0.172127054,D,Nev.,House,,Titus,2014
RYAN FOR CONGRESS,C00330894,C00497396,Tulsi Gabbard,0.171563105,D,Hawaii,House,,Gabbard,2014
RYAN FOR CONGRESS,C00330894,C00409797,John Conyers,0.169742035,D,Mich.,House,,Conyers,2014
RYAN FOR CONGRESS,C00330894,C00327023,Jan Schakowsky,0.168981609,D,Ill.,House,,Schakowsky,2014
RYAN FOR CONGRESS,C00330894,C00462861,Ann Kuster,0.168671486,D,N.H.,House,,Kuster,2014
RYAN FOR CONGRESS,C00330894,C00256925,Bobby Scott,0.167770972,D,Va.,House,,"Scott, B",2014
RYAN FOR CONGRESS,C00330894,C00458125,Judy Chu,0.165852902,D,Calif.,House,,Chu,2014
RYAN FOR CONGRESS,C00330894,C00443580,Cynthia Lummis,0.165662905,R,Wyo.,House,HFC,Lummis,2014
RYAN FOR CONGRESS,C00330894,C00259143,Lucille Roybal-Allard,0.164754169,D,Calif.,House,,Royball-Allard,2014
RYAN FOR CONGRESS,C00330894,C00286856,Doc Hastings,0.162588779,R,Wash.,House,,"Hastings, D",2014
RYAN FOR CONGRESS,C00330894,C00521781,Joe Garcia,0.162448404,D,Fla.,House,,Garcia,2014
RYAN FOR CONGRESS,C00330894,C00213611,Louise Slaughter,0.16242859,D,N.Y.,House,,Slaughter,2014
RYAN FOR CONGRESS,C00330894,C00344671,Susan Davis,0.162194507,D,Calif.,House,,"Davis, S",2014
RYAN FOR CONGRESS,C00330894,C00509422,Doug LaMalfa,0.162185757,R,Calif.,House,,LaMalfa,2014
RYAN FOR CONGRESS,C00330894,C00366948,Stephen Lynch,0.160921549,D,Mass.,House,,Lynch,2014
RYAN FOR CONGRESS,C00330894,C00437293,Ann Kirkpatrick,0.160777322,D,Ariz.,House,,Kirkpatrick,2014
RYAN FOR CONGRESS,C00330894,C00302422,Charles Rangel,0.160729159,D,N.Y.,House,,Rangel,2014
RYAN FOR CONGRESS,C00330894,C00476564,David Cicilline,0.159946922,D,R.I.,House,,Cicilline,2014
RYAN FOR CONGRESS,C00330894,C00215905,Peter DeFazio,0.158494597,D,Ore.,House,,DeFazio,2014
RYAN FOR CONGRESS,C00330894,C00536680,Jared Huffman,0.156474579,D,Calif.,House,,Huffman,2014
RYAN FOR CONGRESS,C00330894,C00154625,Marcy Kaptur,0.156265853,D,Ohio,House,,Kaptur,2014
RYAN FOR CONGRESS,C00330894,C00495952,Brad Schneider,0.1561828,D,Ill.,House,,Schneider,2014
RYAN FOR CONGRESS,C00330894,C00494583,Ted Yoho,0.155062815,R,Fla.,House,HFC,Yoho,2014
RYAN FOR CONGRESS,C00330894,C00502575,Raul Ruiz,0.154370809,D,Calif.,House,,Ruiz,2014
RYAN FOR CONGRESS,C00330894,C00290429,Sam Farr,0.153739176,D,Calif.,House,,Farr,2014
RYAN FOR CONGRESS,C00330894,C00413096,Tim Huelskamp,0.15360828,R,Kan.,House,HFC,Huelskamp,2014
RYAN FOR CONGRESS,C00330894,C00166017,Frank Wolf,0.152033569,R,Va.,House,,Wolf,2014
RYAN FOR CONGRESS,C00330894,C00433136,Niki Tsongas,0.152021951,D,Mass.,House,,Tsongas,2014
RYAN FOR CONGRESS,C00330894,C00523258,Bill Enyart,0.148717993,D,Ill.,House,,Enyart,2014
RYAN FOR CONGRESS,C00330894,C00462697,John Garamendi,0.145727522,D,Calif.,House,,Garamendi,2014
RYAN FOR CONGRESS,C00330894,C00287904,Sheila Jackson Lee,0.144536089,D,Texas,House,,Jackson Lee,2014
RYAN FOR CONGRESS,C00330894,C00269837,Alcee Hastings,0.143471516,D,Wash.,House,,"Hastings, A",2014
RYAN FOR CONGRESS,C00330894,C00351379,Mike Honda,0.142060406,D,Calif.,House,,Honda,2014
RYAN FOR CONGRESS,C00330894,C00026757,George Miller,0.141931574,D,Calif.,House,,"Miller, G",2014
RYAN FOR CONGRESS,C00330894,C00331769,Barbara Lee,0.141479519,D,Calif.,House,,Lee,2014
RYAN FOR CONGRESS,C00330894,C00373563,Steve King,0.140347992,R,Iowa,House,,"King, S",2014
RYAN FOR CONGRESS,C00330894,C00558320,Donald Norcross,0.139780259,D,N.J.,House,,Norcross,2014
RYAN FOR CONGRESS,C00330894,C00290825,Jerry Nadler,0.139533634,D,N.Y.,House,,Nadler,2014
RYAN FOR CONGRESS,C00330894,C00415182,John Sarbanes,0.137585039,D,Md.,House,,Sarbanes,2014
RYAN FOR CONGRESS,C00330894,C00516666,Grace Meng,0.134940396,D,N.Y.,House,,Meng,2014
RYAN FOR CONGRESS,C00330894,C00422410,Keith Ellison,0.134277476,D,Minn.,House,,Ellison,2014
RYAN FOR CONGRESS,C00330894,C00224691,Dana Rohrabacher,0.134179974,R,Calif.,House,,Rohrabacher,2014
RYAN FOR CONGRESS,C00330894,C00546358,Alma Adams,0.132111665,D,N.C.,House,,Adams,2014
RYAN FOR CONGRESS,C00330894,C00401034,Brian Higgins,0.129127432,D,N.Y.,House,,Higgins,2014
RYAN FOR CONGRESS,C00330894,C00499053,Rick Nolan,0.122805019,D,Minn.,House,,Nolan,2014
RYAN FOR CONGRESS,C00330894,C00541888,Katherine Clark,0.120811677,D,Mass.,House,,Clark,2014
RYAN FOR CONGRESS,C00330894,C00374058,Raul Grijalva,0.118863815,D,Ariz.,House,,Grijalva,2014
RYAN FOR CONGRESS,C00330894,C00502534,Gloria Negrete McLeod,0.112838644,D,Calif.,House,,Negrete McLeod,2014
RYAN FOR CONGRESS,C00330894,C00446815,Tom McClintock,0.105200634,R,Calif.,House,,McClintock,2014
RYAN FOR CONGRESS,C00330894,C00318196,John Tierney,0.104165136,D,Mass.,House,,Tierney,2014
RYAN FOR CONGRESS,C00330894,C00385773,Debbie Wasserman Schultz,0.103920271,D,Fla.,House,,Wasserman Schultz,2014
RYAN FOR CONGRESS,C00330894,C00551572,David Jolly,0.102297652,R,Fla.,House,,Jolly,2014
RYAN FOR CONGRESS,C00330894,C00432955,Paul Broun,0.098515472,R,Ga.,House,,Broun,2014
RYAN FOR CONGRESS,C00330894,C00509968,Matt Cartwright,0.097746035,D,Pa.,House,,Cartwright,2014
RYAN FOR CONGRESS,C00330894,C00513077,Julia Brownley,0.093860327,D,Calif.,House,,Brownley,2014
RYAN FOR CONGRESS,C00330894,C00096412,Chris Smith,0.09338226,R,N.J.,House,,"Smith, Ch",2014
RYAN FOR CONGRESS,C00330894,C00498667,Mark Takano,0.090312023,D,Calif.,House,,Takano,2014
RYAN FOR CONGRESS,C00330894,C00435370,Jared Polis,0.082463469,D,Colo.,House,,Polis,2014
RYAN FOR CONGRESS,C00330894,C00549352,Vance McAllister,0.077892977,R,La.,House,,McAllister,2014
RYAN FOR CONGRESS,C00330894,C00421339,Colleen Hanabusa,0.077234222,D,Hawaii,House,,Hanabusa,2014
RYAN FOR CONGRESS,C00330894,C00333740,Bob Brady,0.076101134,D,Pa.,House,,"Brady, B",2014
RYAN FOR CONGRESS,C00330894,C00424713,Alan Grayson,0.073202063,D,Fla.,House,,Grayson,2014
RYAN FOR CONGRESS,C00330894,C00541003,Kerry Bentivolio,0.071042689,R,Mich.,House,,Bentivolio,2014
RYAN FOR CONGRESS,C00330894,C00240986,Jose Serrano,0.061642312,D,N.Y.,House,,Serrano,2014
RYAN FOR CONGRESS,C00330894,C00433391,Chellie Pingree,0.059841214,D,Maine,House,,Pingree,2014
RYAN FOR CONGRESS,C00330894,C00554949,David Brat,0.048013647,R,Va.,House,HFC,Brat,2014
RYAN FOR CONGRESS,C00330894,C00554972,Curt Clawson,0.034371541,R,Fla.,House,HFC,Clawson,2014
RYAN FOR CONGRESS,C00330894,C00444471,Phil Roe,0.03350634,R,Tenn.,House,,Roe,2014
RYAN FOR CONGRESS,C00330894,C00476291,Justin Amash,0.033252983,R,Mich.,House,HFC,Amash,2014
RYAN FOR CONGRESS,C00330894,C00419978,Carol Shea-Porter,0.02921403,D,N.H.,House,,Shea-Porter,2014
RYAN FOR CONGRESS,C00330894,C00464073,Scott DesJarlais,0.02554098,R,Tenn.,House,HFC,DesJarlais,2014
RYAN FOR CONGRESS,C00330894,C00410118,Michele Bachmann,0,R,Minn.,House,,Bachmann,2014
