cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00467571,Andy Barr,0.420602474,R,Ky.,House,,Barr,2014
RYAN FOR CONGRESS,C00330894,C00310136,Joe Pitts,0.419874679,R,Pa.,House,,Pitts,2014
RYAN FOR CONGRESS,C00330894,C00468405,Robert Hurt,0.414308877,R,Va.,House,,Hurt,2014
RYAN FOR CONGRESS,C00330894,C00384057,Linda Sanchez,0.413038299,D,Calif.,House,,"Sanchez, Linda",2014
RYAN FOR CONGRESS,C00330894,C00384016,Randy Neugebauer,0.412167784,R,Texas,House,,Neugebauer,2014
RYAN FOR CONGRESS,C00330894,C00410639,Ed Perlmutter,0.411153268,D,Colo.,House,,Perlmutter,2014
RYAN FOR CONGRESS,C00330894,C00372532,Michael Burgess,0.410227719,R,Texas,House,,Burgess,2014
RYAN FOR CONGRESS,C00330894,C00476853,Kristi Noem,0.407766373,R,S.D.,House,,Noem,2014
RYAN FOR CONGRESS,C00330894,C00358952,Steve Israel,0.403786458,D,N.Y.,House,leader,Israel,2014
RYAN FOR CONGRESS,C00330894,C00412759,Vern Buchanan,0.401577885,R,Fla.,House,,Buchanan,2014
RYAN FOR CONGRESS,C00330894,C00504522,Richard Hudson,0.395635316,R,N.C.,House,,Hudson,2014
RYAN FOR CONGRESS,C00330894,C00468116,Tim Griffin,0.391593758,R,Ark.,House,,Griffin,2014
RYAN FOR CONGRESS,C00330894,C00500207,Susan Brooks,0.391430222,R,Ind.,House,,"Brooks, S",2014
RYAN FOR CONGRESS,C00330894,C00514513,Robert Pittenger,0.390972207,R,N.C.,House,,Pittenger,2014
RYAN FOR CONGRESS,C00330894,C00459297,Bill Huizenga,0.390101313,R,Mich.,House,,Huizenga,2014
RYAN FOR CONGRESS,C00330894,C00200865,Ed Royce,0.38967927,R,Calif.,House,,Royce,2014
RYAN FOR CONGRESS,C00330894,C00460402,Mike Pompeo,0.389662451,R,Kansas,House,,Pompeo,2014
RYAN FOR CONGRESS,C00330894,C00408534,Gus Bilirakis,0.389002355,R,Fla.,House,,Bilirakis,2014
RYAN FOR CONGRESS,C00330894,C00430991,Greg Meeks,0.388062713,D,N.Y.,House,,Meeks,2014
RYAN FOR CONGRESS,C00330894,C00287045,Tom Latham,0.385981253,R,Iowa,House,,Latham,2014
RYAN FOR CONGRESS,C00330894,C00226928,Frank Pallone,0.38411432,D,N.J.,House,,Pallone,2014
